customer_id,month,mrr
CUST1,2024-11-01,40
CUST1,2024-12-01,40
CUST1,2025-01-01,40
CUST1,2025-02-01,40
CUST2,2025-01-01,20
CUST2,2025-02-01,20
CUST2,2025-03-01,20
CUST2,2025-04-01,20
CUST2,2025-05-01,20
CUST2,2025-06-01,20
CUST2,2025-07-01,40
CUST2,2025-08-01,60
CUST2,2025-09-01,60
CUST2,2025-10-01,60
CUST2,2025-11-01,60
CUST2,2025-12-01,40
CUST2,2026-01-01,60
CUST2,2026-02-01,60
CUST2,2026-03-01,60
CUST2,2026-04-01,60
CUST2,2026-05-01,60
CUST2,2026-06-01,80
CUST3,2024-02-01,50
CUST3,2024-03-01,70
CUST3,2024-04-01,70
CUST4,2025-02-01,100
CUST4,2025-03-01,100
CUST5,2025-04-01,20
CUST5,2025-05-01,40
CUST5,2025-06-01,40
CUST5,2025-07-01,20
CUST5,2025-08-01,20
CUST5,2025-09-01,40
CUST5,2025-10-01,40
CUST5,2025-11-01,40
CUST5,2025-12-01,40
CUST5,2026-01-01,40
CUST5,2026-02-01,40
CUST5,2026-03-01,40
CUST5,2026-04-01,40
CUST6,2024-11-01,20
CUST6,2024-12-01,20
CUST6,2025-01-01,20
CUST6,2025-02-01,20
CUST6,2025-03-01,20
CUST6,2025-04-01,20
CUST6,2025-05-01,20
CUST6,2025-06-01,40
CUST6,2025-07-01,40
CUST6,2025-08-01,40
CUST6,2025-09-01,20
CUST6,2025-10-01,20
CUST7,2024-10-01,100
CUST7,2024-11-01,100
CUST7,2024-12-01,100
CUST7,2025-01-01,100
CUST7,2025-02-01,100
CUST7,2025-03-01,100
CUST7,2025-04-01,100
CUST7,2025-05-01,80
CUST8,2024-10-01,50
CUST8,2024-11-01,50
CUST8,2024-12-01,30
CUST8,2025-01-01,30
CUST8,2025-02-01,30
CUST8,2025-03-01,30
CUST8,2025-04-01,50
CUST8,2025-05-01,50
CUST8,2025-06-01,70
CUST8,2025-07-01,70
CUST8,2025-08-01,70
CUST8,2025-09-01,70
CUST8,2025-10-01,50
CUST8,2025-11-01,50
CUST8,2025-12-01,50
CUST8,2026-01-01,70
CUST8,2026-02-01,50
CUST8,2026-03-01,50
CUST8,2026-04-01,50
CUST8,2026-05-01,50
CUST8,2026-06-01,50
CUST8,2026-07-01,50
CUST8,2026-08-01,50
CUST9,2024-08-01,30
CUST9,2024-09-01,10
CUST9,2024-10-01,10
CUST9,2024-11-01,30
CUST9,2024-12-01,30
CUST9,2025-01-01,30
CUST9,2025-02-01,30
CUST9,2025-03-01,30
CUST9,2025-04-01,30
CUST9,2025-05-01,30
CUST9,2025-06-01,30
CUST9,2025-07-01,10
CUST9,2025-08-01,10
CUST9,2025-09-01,10
CUST9,2025-10-01,10
CUST9,2025-11-01,10
CUST9,2025-12-01,10
CUST10,2025-03-01,70
CUST10,2025-04-01,70
CUST10,2025-05-01,70
CUST10,2025-06-01,70
CUST10,2025-07-01,70
CUST10,2025-08-01,50
CUST10,2025-09-01,30
CUST10,2025-10-01,10
CUST10,2025-11-01,10
CUST10,2025-12-01,10
CUST10,2026-01-01,10
CUST10,2026-02-01,10
CUST10,2026-03-01,10
CUST10,2026-04-01,30
CUST10,2026-05-01,30
CUST10,2026-06-01,30
CUST10,2026-07-01,30
CUST10,2026-08-01,30
CUST10,2026-09-01,50
CUST10,2026-10-01,70
CUST10,2026-11-01,50
CUST11,2024-09-01,20
CUST11,2024-10-01,20
CUST11,2024-11-01,20
CUST11,2024-12-01,20
CUST11,2025-01-01,20
CUST12,2025-05-01,100
CUST12,2025-06-01,100
CUST12,2025-07-01,100
CUST12,2025-08-01,100
CUST12,2025-09-01,100
CUST12,2025-10-01,100
CUST12,2025-11-01,80
CUST13,2024-08-01,20
CUST13,2024-09-01,20
CUST13,2024-10-01,20
CUST13,2024-11-01,20
CUST14,2024-04-01,40
CUST15,2024-01-01,20
CUST15,2024-03-01,20
CUST15,2024-03-01,20
CUST15,2024-04-01,20
CUST15,2024-05-01,20
CUST15,2024-06-01,20
CUST15,2024-07-01,20
CUST15,2024-08-01,20
CUST16,2024-10-01,50
CUST16,2024-11-01,50
CUST16,2024-12-01,50
CUST16,2025-01-01,50
CUST16,2025-02-01,50
CUST16,2025-03-01,50
CUST16,2025-04-01,50
CUST16,2025-05-01,30
CUST16,2025-06-01,30
CUST16,2025-07-01,30
CUST16,2025-08-01,30
CUST16,2025-09-01,30
CUST16,2025-10-01,50
CUST16,2025-11-01,70
CUST16,2025-12-01,70
CUST16,2026-01-01,70
CUST16,2026-02-01,70
CUST16,2026-03-01,70
CUST16,2026-04-01,70
CUST17,2024-08-01,20
CUST17,2024-09-01,20
CUST17,2024-10-01,20
CUST17,2024-11-01,20
CUST17,2024-12-01,20
CUST17,2025-01-01,40
CUST17,2025-02-01,20
CUST17,2025-03-01,20
CUST18,2025-03-01,20
CUST18,2025-04-01,20
CUST18,2025-05-01,20
CUST18,2025-06-01,20
CUST18,2025-07-01,20
CUST18,2025-08-01,20
CUST18,2025-09-01,20
CUST18,2025-10-01,20
CUST19,2025-02-01,50
CUST19,2025-03-01,30
CUST19,2025-04-01,10
CUST19,2025-05-01,10
CUST19,2025-06-01,30
CUST19,2025-07-01,30
CUST19,2025-08-01,30
CUST19,2025-09-01,10
CUST19,2025-10-01,10
CUST19,2025-11-01,10
CUST19,2025-12-01,30
CUST19,2026-01-01,30
CUST19,2026-01-01,30
CUST19,2026-03-01,30
CUST19,2026-04-01,10
CUST20,2024-03-01,100
CUST20,2024-04-01,100
CUST21,2024-10-01,80
CUST21,2024-11-01,80
CUST21,2024-12-01,60
CUST22,2024-10-01,100
CUST22,2024-11-01,100
CUST22,2024-12-01,100
CUST22,2025-01-01,100
CUST22,2025-02-01,100
CUST22,2025-03-01,80
CUST22,2025-04-01,80
CUST22,2025-05-01,100
CUST23,2024-05-01,50
CUST23,2024-06-01,50
CUST23,2024-07-01,50
CUST23,2024-07-01,30
CUST23,2024-08-01,10
CUST23,2024-09-01,10
CUST23,2024-10-01,10
CUST23,2024-11-01,10
CUST23,2024-12-01,10
CUST24,2024-10-01,100
CUST24,2024-11-01,80
CUST24,2024-12-01,60
CUST24,2024-12-01,40
CUST24,2025-01-01,40
CUST24,2025-03-01,40
CUST24,2025-03-01,60
CUST25,2024-12-01,80
CUST25,2025-01-01,100
CUST25,2025-02-01,100
CUST25,2025-03-01,100
CUST25,2025-04-01,100
CUST25,2025-05-01,80
CUST25,2025-06-01,80
CUST25,2025-07-01,60
CUST25,2025-08-01,60
CUST25,2025-09-01,40
CUST26,2025-01-01,20
CUST26,2025-02-01,20
CUST26,2025-03-01,40
CUST26,2025-04-01,40
CUST26,2025-05-01,40
CUST26,2025-06-01,40
CUST26,2025-07-01,40
CUST26,2025-08-01,20
CUST26,2025-09-01,40
CUST26,2025-10-01,40
CUST26,2025-11-01,40
CUST26,2025-12-01,40
CUST26,2026-01-01,40
CUST26,2026-02-01,60
CUST26,2026-03-01,60
CUST26,2026-04-01,60
CUST26,2026-05-01,80
CUST26,2026-06-01,80
CUST27,2024-08-01,20
CUST27,2024-09-01,20
CUST27,2024-10-01,20
CUST27,2024-11-01,20
CUST27,2024-12-01,20
CUST27,2025-01-01,20
CUST27,2025-02-01,20
CUST27,2025-03-01,20
CUST27,2025-04-01,20
CUST27,2025-05-01,20
CUST27,2025-06-01,20
CUST27,2025-07-01,20
CUST27,2025-08-01,20
CUST27,2025-08-01,20
CUST27,2025-09-01,20
CUST27,2025-10-01,20
CUST27,2025-11-01,20
CUST27,2025-12-01,20
CUST28,2025-03-01,100
CUST28,2025-04-01,80
CUST28,2025-05-01,80
CUST28,2025-06-01,80
CUST28,2025-07-01,100
CUST28,2025-08-01,100
CUST28,2025-09-01,100
CUST28,2025-10-01,100
CUST28,2025-11-01,80
CUST28,2025-12-01,100
CUST28,2026-01-01,100
CUST28,2026-02-01,100
CUST28,2026-03-01,100
CUST28,2026-04-01,100
CUST29,2024-03-01,20
CUST29,2024-04-01,20
CUST29,2024-05-01,20
CUST29,2024-06-01,20
CUST29,2024-07-01,20
CUST29,2024-08-01,20
CUST29,2024-09-01,40
CUST29,2024-10-01,20
CUST29,2024-11-01,20
CUST29,2024-12-01,20
CUST29,2025-01-01,20
CUST29,2025-02-01,20
CUST29,2025-03-01,20
CUST29,2025-04-01,40
CUST29,2025-05-01,40
CUST29,2025-06-01,40
CUST29,2025-07-01,40
CUST29,2025-08-01,60
CUST29,2025-09-01,60
CUST29,2025-10-01,60
CUST29,2025-11-01,40
CUST29,2025-12-01,40
CUST29,2026-01-01,40
CUST30,2024-05-01,20
CUST30,2024-06-01,20
CUST31,2025-02-01,50
CUST31,2025-03-01,50
CUST31,2025-04-01,50
CUST31,2025-05-01,50
CUST31,2025-06-01,50
CUST31,2025-07-01,70
CUST31,2025-08-01,70
CUST31,2025-09-01,50
CUST31,2025-10-01,50
CUST31,2025-11-01,70
CUST31,2025-12-01,90
CUST32,2024-12-01,50
CUST32,2025-01-01,30
CUST32,2025-02-01,10
CUST32,2025-03-01,10
CUST32,2025-04-01,10
CUST32,2025-05-01,10
CUST32,2025-06-01,10
CUST33,2024-09-01,100
CUST33,2024-10-01,100
CUST33,2024-11-01,100
CUST33,2024-12-01,100
CUST33,2025-01-01,100
CUST33,2025-02-01,80
CUST33,2025-03-01,80
CUST33,2025-04-01,60
CUST33,2025-05-01,60
CUST33,2025-06-01,60
CUST34,2024-10-01,50
CUST35,2024-08-01,100
CUST35,2024-09-01,100
CUST35,2024-10-01,100
CUST35,2024-11-01,100
CUST35,2024-12-01,100
CUST35,2025-01-01,80
CUST35,2025-02-01,100
CUST35,2025-03-01,100
CUST35,2025-04-01,100
CUST35,2025-05-01,100
CUST35,2025-06-01,100
CUST35,2025-07-01,100
CUST35,2025-08-01,100
CUST35,2025-09-01,100
CUST35,2025-10-01,100
CUST35,2025-11-01,100
CUST35,2025-12-01,100
CUST35,2025-12-01,100
CUST35,2026-01-01,100
CUST36,2024-08-01,20
CUST36,2024-09-01,20
CUST36,2024-10-01,20
CUST36,2024-11-01,40
CUST36,2024-12-01,40
CUST36,2025-01-01,40
CUST36,2025-02-01,40
CUST36,2025-03-01,40
CUST36,2025-04-01,20
CUST36,2025-05-01,20
CUST36,2025-06-01,20
CUST36,2025-07-01,40
CUST36,2025-08-01,40
CUST36,2025-09-01,60
CUST36,2025-10-01,60
CUST36,2025-11-01,60
CUST36,2025-12-01,60
CUST36,2026-01-01,40
CUST36,2026-02-01,40
CUST36,2026-03-01,40
CUST37,2024-08-01,80
CUST37,2024-09-01,80
CUST37,2024-10-01,60
CUST37,2024-11-01,40
CUST37,2024-12-01,40
CUST37,2025-01-01,60
CUST37,2025-02-01,60
CUST37,2025-03-01,80
CUST37,2025-04-01,80
CUST37,2025-05-01,60
CUST37,2025-06-01,80
CUST37,2025-07-01,80
CUST37,2025-08-01,80
CUST37,2025-09-01,80
CUST37,2025-10-01,80
CUST37,2025-11-01,100
CUST37,2025-12-01,100
CUST37,2026-01-01,100
CUST37,2026-02-01,100
CUST37,2026-03-01,100
CUST37,2026-04-01,100
CUST37,2026-05-01,100
CUST38,2024-06-01,20
CUST38,2024-07-01,20
CUST38,2024-08-01,20
CUST38,2024-09-01,40
CUST38,2024-10-01,40
CUST38,2024-11-01,40
CUST38,2024-12-01,40
CUST38,2025-01-01,40
CUST38,2025-02-01,40
CUST38,2025-03-01,40
CUST38,2025-04-01,20
CUST38,2025-05-01,20
CUST38,2025-06-01,20
CUST38,2025-07-01,20
CUST38,2025-08-01,40
CUST38,2025-09-01,40
CUST38,2025-10-01,40
CUST38,2025-11-01,40
CUST39,2025-01-01,50
CUST39,2025-02-01,70
CUST39,2025-03-01,90
CUST39,2025-04-01,70
CUST39,2025-05-01,70
CUST39,2025-06-01,70
CUST39,2025-07-01,70
CUST39,2025-08-01,70
CUST39,2025-09-01,70
CUST39,2025-10-01,90
CUST39,2025-11-01,110
CUST39,2025-12-01,110
CUST39,2026-01-01,90
CUST40,2024-11-01,20
CUST40,2024-12-01,20
CUST40,2025-01-01,20
CUST40,2025-02-01,20
CUST40,2025-03-01,20
CUST40,2025-04-01,20
CUST40,2025-05-01,20
CUST40,2025-06-01,20
CUST40,2025-07-01,20
CUST40,2025-08-01,20
CUST40,2025-09-01,20
CUST40,2025-10-01,20
CUST40,2025-11-01,20
CUST40,2025-12-01,20
CUST40,2026-01-01,20
CUST40,2026-02-01,40
CUST40,2026-03-01,40
CUST40,2026-04-01,60
CUST41,2024-01-01,20
CUST41,2024-02-01,40
CUST41,2024-03-01,40
CUST41,2024-04-01,60
CUST41,2024-05-01,40
CUST41,2024-06-01,40
CUST41,2024-07-01,40
CUST41,2024-08-01,40
CUST41,2024-09-01,40
CUST41,2024-10-01,40
CUST41,2024-11-01,40
CUST41,2024-12-01,40
CUST42,2024-12-01,50
CUST42,2025-01-01,50
CUST42,2025-02-01,70
CUST42,2025-03-01,70
CUST42,2025-04-01,90
CUST42,2025-05-01,70
CUST42,2025-06-01,70
CUST42,2025-07-01,70
CUST42,2025-08-01,70
CUST43,2024-12-01,30
CUST43,2025-01-01,30
CUST43,2025-02-01,30
CUST43,2025-03-01,50
CUST43,2025-04-01,50
CUST43,2025-05-01,50
CUST43,2025-06-01,50
CUST43,2025-07-01,50
CUST43,2025-08-01,70
CUST43,2025-09-01,90
CUST43,2025-10-01,90
CUST43,2025-11-01,90
CUST43,2025-12-01,90
CUST44,2024-12-01,20
CUST44,2025-01-01,20
CUST44,2025-02-01,40
CUST44,2025-03-01,60
CUST44,2025-04-01,60
CUST44,2025-05-01,40
CUST44,2025-06-01,40
CUST44,2025-07-01,60
CUST44,2025-08-01,80
CUST44,2025-08-01,80
CUST44,2025-09-01,100
CUST44,2025-10-01,80
CUST45,2024-05-01,100
CUST45,2024-06-01,100
CUST45,2024-07-01,100
CUST45,2024-08-01,100
CUST45,2024-09-01,100
CUST45,2024-10-01,100
CUST45,2024-11-01,80
CUST45,2024-12-01,80
CUST45,2025-01-01,80
CUST45,2025-02-01,100
CUST45,2025-03-01,100
CUST45,2025-04-01,100
CUST45,2025-05-01,100
CUST45,2025-06-01,100
CUST45,2025-07-01,100
CUST45,2025-08-01,100
CUST45,2025-09-01,100
CUST45,2025-10-01,100
CUST45,2025-11-01,100
CUST45,2025-12-01,100
CUST46,2025-03-01,100
CUST46,2025-04-01,80
CUST46,2025-05-01,80
CUST46,2025-06-01,100
CUST46,2025-07-01,100
CUST46,2025-08-01,100
CUST46,2025-09-01,100
CUST46,2025-10-01,100
CUST46,2025-11-01,100
CUST47,2025-02-01,20
CUST48,2024-07-01,20
CUST48,2024-08-01,20
CUST48,2024-09-01,20
CUST48,2024-10-01,20
CUST48,2024-11-01,20
CUST48,2024-12-01,40
CUST48,2025-01-01,40
CUST48,2025-02-01,60
CUST48,2025-03-01,60
CUST48,2025-04-01,60
CUST48,2025-05-01,60
CUST48,2025-06-01,60
CUST48,2025-07-01,60
CUST48,2025-08-01,60
CUST48,2025-09-01,80
CUST48,2025-10-01,80
CUST48,2025-11-01,80
CUST48,2025-12-01,80
CUST48,2026-01-01,100
CUST48,2026-02-01,80
CUST48,2026-03-01,80
CUST48,2026-04-01,80
CUST48,2026-05-01,80
CUST49,2024-04-01,20
CUST49,2024-05-01,20
CUST49,2024-06-01,40
CUST49,2024-07-01,40
CUST49,2024-08-01,40
CUST49,2024-09-01,40
CUST49,2024-10-01,40
CUST49,2024-11-01,20
CUST49,2024-12-01,20
CUST49,2025-01-01,40
CUST50,2024-02-01,100
CUST51,2024-09-01,50
CUST51,2024-10-01,50
CUST51,2024-11-01,30
CUST51,2024-12-01,30
CUST51,2024-12-01,50
CUST51,2025-01-01,50
CUST51,2025-03-01,50
CUST51,2025-03-01,50
CUST51,2025-04-01,50
CUST51,2025-05-01,50
CUST51,2025-06-01,50
CUST51,2025-07-01,50
CUST51,2025-08-01,30
CUST51,2025-09-01,30
CUST51,2025-10-01,50
CUST52,2024-11-01,100
CUST52,2024-12-01,100
CUST52,2025-01-01,100
CUST52,2025-02-01,100
CUST52,2025-03-01,80
CUST52,2025-04-01,60
CUST52,2025-05-01,60
CUST52,2025-06-01,60
CUST52,2025-07-01,60
CUST52,2025-08-01,80
CUST52,2025-09-01,60
CUST52,2025-10-01,60
CUST52,2025-11-01,60
CUST52,2025-12-01,60
CUST52,2025-12-01,60
CUST52,2026-01-01,60
CUST52,2026-03-01,60
CUST52,2026-03-01,60
CUST52,2026-04-01,60
CUST52,2026-05-01,60
CUST53,2024-05-01,20
CUST53,2024-06-01,20
CUST54,2025-03-01,20
CUST54,2025-04-01,20
CUST54,2025-05-01,40
CUST54,2025-06-01,40
CUST54,2025-07-01,40
CUST54,2025-08-01,20
CUST54,2025-09-01,20
CUST54,2025-10-01,20
CUST54,2025-11-01,20
CUST54,2025-12-01,20
CUST54,2026-01-01,40
CUST54,2026-02-01,40
CUST54,2026-03-01,40
CUST54,2026-04-01,40
CUST54,2026-05-01,60
CUST55,2024-10-01,50
CUST55,2024-11-01,50
CUST55,2024-12-01,50
CUST55,2025-01-01,30
CUST55,2025-02-01,30
CUST55,2025-03-01,30
CUST55,2025-04-01,30
CUST55,2025-05-01,30
CUST55,2025-06-01,30
CUST55,2025-07-01,30
CUST56,2024-05-01,20
CUST57,2024-12-01,80
CUST57,2025-01-01,60
CUST57,2025-02-01,60
CUST57,2025-03-01,60
CUST57,2025-04-01,60
CUST57,2025-05-01,80
CUST57,2025-06-01,80
CUST57,2025-07-01,80
CUST57,2025-08-01,60
CUST57,2025-09-01,60
CUST57,2025-10-01,60
CUST57,2025-11-01,60
CUST57,2025-12-01,60
CUST57,2026-01-01,60
CUST57,2026-02-01,60
CUST57,2026-03-01,60
CUST57,2026-04-01,60
CUST57,2026-05-01,40
CUST57,2026-06-01,40
CUST58,2024-12-01,50
CUST58,2025-01-01,50
CUST58,2025-02-01,70
CUST58,2025-03-01,70
CUST58,2025-04-01,70
CUST58,2025-05-01,70
CUST58,2025-06-01,70
CUST58,2025-07-01,90
CUST58,2025-08-01,70
CUST58,2025-09-01,90
CUST58,2025-10-01,90
CUST58,2025-11-01,70
CUST58,2025-12-01,70
CUST58,2026-01-01,70
CUST58,2026-02-01,70
CUST58,2026-03-01,70
CUST59,2024-09-01,70
CUST59,2024-10-01,70
CUST59,2024-11-01,70
CUST59,2024-12-01,50
CUST59,2025-01-01,50
CUST59,2025-02-01,50
CUST59,2025-03-01,50
CUST59,2025-04-01,30
CUST59,2025-05-01,30
CUST59,2025-06-01,30
CUST59,2025-07-01,30
CUST59,2025-08-01,30
CUST59,2025-09-01,30
CUST59,2025-10-01,30
CUST59,2025-11-01,10
CUST59,2025-12-01,10
CUST59,2026-01-01,10
CUST59,2026-02-01,10
CUST59,2026-03-01,30
CUST59,2026-04-01,30
CUST59,2026-05-01,50
CUST60,2024-09-01,50
CUST60,2024-10-01,50
CUST60,2024-11-01,50
CUST60,2024-12-01,50
CUST60,2025-01-01,50
CUST60,2025-02-01,50
CUST60,2025-03-01,50
CUST60,2025-04-01,70
CUST60,2025-05-01,70
CUST60,2025-06-01,70
CUST60,2025-07-01,90
CUST60,2025-08-01,70
CUST60,2025-09-01,70
CUST60,2025-10-01,90
CUST60,2025-11-01,90
CUST60,2025-12-01,90
CUST60,2026-01-01,110
CUST60,2026-02-01,110
CUST60,2026-03-01,110
CUST60,2026-04-01,110
CUST60,2026-05-01,90
CUST60,2026-06-01,90
CUST60,2026-07-01,90
CUST61,2024-06-01,100
CUST61,2024-07-01,80
CUST61,2024-08-01,60
CUST61,2024-09-01,40
CUST61,2024-10-01,40
CUST61,2024-11-01,40
