month,starting_mrr,new,expansion,contraction,churned,ending_mrr
2024-02-01,17140.0,15770.0,740.0,-640.0,1350.0,31660.0
2024-03-01,31660.0,18510.0,980.0,-1160.0,1550.0,48440.0
2024-04-01,48440.0,15990.0,1760.0,-2000.0,2330.0,61860.0
2024-05-01,61860.0,18030.0,2460.0,-2540.0,1950.0,77860.0
2024-06-01,77860.0,17210.0,3060.0,-3060.0,2700.0,92370.0
2024-07-01,92370.0,17630.0,3560.0,-3740.0,3140.0,106680.0
2024-08-01,106680.0,17430.0,3920.0,-4000.0,4990.0,119040.0
2024-09-01,119040.0,17210.0,4520.0,-4320.0,5620.0,130830.0
2024-10-01,130830.0,16850.0,5260.0,-4940.0,5500.0,142500.0
2024-11-01,142500.0,17210.0,5320.0,-5820.0,8510.0,150700.0
2024-12-01,150700.0,18530.0,5860.0,-6040.0,8470.0,160580.0
2025-01-01,160580.0,18940.0,6800.0,-5960.0,9120.0,171240.0
2025-02-01,171240.0,16890.0,6440.0,-6100.0,20890.0,167580.0
2025-03-01,167580.0,27800.0,5960.0,-6500.0,9560.0,185280.0
2025-04-01,185280.0,17310.0,6760.0,-6960.0,11900.0,190490.0
2025-05-01,190490.0,9700.0,7780.0,-7100.0,11780.0,189090.0
2025-06-01,189090.0,0,7140.0,-7440.0,11330.0,177460.0
2025-07-01,177460.0,0,7200.0,-6460.0,12810.0,165390.0
2025-08-01,165390.0,0,6440.0,-6100.0,11940.0,153790.0
2025-09-01,153790.0,0,5880.0,-5740.0,13730.0,140200.0
2025-10-01,140200.0,0,5560.0,-5460.0,10800.0,129500.0
2025-11-01,129500.0,0,4960.0,-5060.0,11570.0,117830.0
2025-12-01,117830.0,0,4500.0,-4500.0,11790.0,106040.0
2026-01-01,106040.0,0,3900.0,-3840.0,13940.0,92160.0
2026-02-01,92160.0,0,3020.0,-2940.0,17260.0,74980.0
2026-03-01,74980.0,5780.0,2720.0,-2540.0,9870.0,71070.0
2026-04-01,71070.0,0,2560.0,-2360.0,10580.0,60690.0
2026-05-01,60690.0,0,2200.0,-1960.0,9130.0,51800.0
2026-06-01,51800.0,0,1980.0,-1840.0,9260.0,42680.0
2026-07-01,42680.0,0,1560.0,-1220.0,8470.0,34550.0
2026-08-01,34550.0,0,1180.0,-1140.0,6690.0,27900.0
2026-09-01,27900.0,0,920.0,-1060.0,6090.0,21670.0
2026-10-01,21670.0,0,820.0,-500.0,4770.0,17220.0
2026-11-01,17220.0,0,260.0,-560.0,4960.0,11960.0
2026-12-01,11960.0,0,320.0,-280.0,3660.0,8340.0
2027-01-01,8340.0,0,240.0,-200.0,3060.0,5320.0
2027-02-01,5320.0,0,60.0,-60.0,3400.0,1920.0
2027-03-01,1920.0,260.0,40.0,-20.0,1200.0,1000.0
2027-04-01,1000.0,0,20.0,0,900.0,120.0
