customer_id,plan_tier,start_date,end_date,mrr,region,acquisition_channel,downgrade_flag,downgrade_date
CUST1,Premium,2024-10-08,2025-07-15,100,North America,Organic,0,
CUST2,Premium,2025-03-08,2025-05-09,100,North America,Organic,1,2025-03-22
CUST3,Basic,2025-03-05,2025-11-15,20,North America,Paid Ads,0,
CUST4,Standard,2025-03-08,2026-03-21,50,North America,Paid Ads,0,
CUST5,Basic,2024-04-04,2025-05-28,20,APAC,Organic,1,2024-09-28
CUST6,Premium,2025-04-15,2026-11-15,100,APAC,Organic,1,2026-05-08
CUST7,Basic,2024-07-15,2026-08-05,20,APAC,Partnership,1,2026-05-24
CUST8,Basic,2024-08-26,2025-01-06,20,APAC,Organic,0,
CUST9,Standard,2025-01-14,2026-02-11,50,APAC,Paid Ads,0,
CUST10,Standard,2024-09-07,2025-03-23,50,North America,Paid Ads,0,
CUST11,Standard,2024-02-27,2024-11-17,50,Europe,Partnership,0,
CUST12,Standard,2024-03-08,2024-11-09,50,LATAM,Partnership,0,
CUST13,Premium,2025-05-26,2026-08-04,100,APAC,Paid Ads,0,
CUST14,Premium,2024-09-28,2025-03-19,100,LATAM,Paid Ads,0,
CUST15,Premium,2025-02-12,2026-03-19,100,APAC,Referral,0,
CUST16,Basic,2024-02-18,2024-07-09,20,LATAM,Organic,0,
CUST17,Basic,2025-01-29,2026-03-25,20,LATAM,Organic,0,
CUST18,Standard,2024-04-27,2026-04-25,50,APAC,Organic,0,
CUST19,Standard,2024-10-27,2026-02-14,50,APAC,Organic,0,
CUST20,Basic,2024-04-18,2026-02-17,20,APAC,Paid Ads,0,
CUST21,Premium,2025-01-17,2027-04-07,100,Europe,Paid Ads,0,
CUST22,Premium,2025-05-15,2025-07-03,100,North America,Partnership,1,2025-06-08
CUST23,Standard,2024-09-03,2026-05-06,50,Europe,Organic,0,
CUST24,Basic,2024-05-08,2024-10-16,20,LATAM,Organic,0,
CUST25,Premium,2025-03-09,2025-11-10,100,Europe,Partnership,0,
CUST26,Premium,2025-02-12,2027-01-30,100,Europe,Partnership,0,
CUST27,Standard,2024-09-10,2025-05-28,50,LATAM,Organic,1,2024-09-21
CUST28,Premium,2024-01-08,2024-04-19,100,Europe,Paid Ads,0,
CUST29,Basic,2024-02-02,2025-02-04,20,Europe,Organic,1,2024-06-03
CUST30,Standard,2024-05-15,2026-06-24,50,LATAM,Paid Ads,0,
CUST31,Premium,2025-04-29,2027-09-02,100,LATAM,Paid Ads,0,
CUST32,Basic,2024-12-28,2026-04-05,20,North America,Referral,0,
CUST33,Premium,2024-03-03,2025-05-19,100,North America,Organic,0,
CUST34,Basic,2024-07-13,2026-02-12,20,Europe,Paid Ads,0,
CUST35,Standard,2025-04-18,2026-01-28,50,Europe,Partnership,0,
CUST36,Basic,2024-02-21,2026-01-18,20,LATAM,Organic,0,
CUST37,Basic,2024-06-19,2025-09-08,20,North America,Paid Ads,0,
CUST38,Basic,2024-06-17,2025-08-09,20,LATAM,Organic,1,2025-01-03
CUST39,Standard,2025-03-09,2027-03-22,50,LATAM,Partnership,0,
CUST40,Premium,2024-07-13,2025-06-11,100,LATAM,Paid Ads,0,
